entry_time,exit_time,direction,entry_price,exit_price,sl,tp,size,pnl,duration_bars,exit_reason
2025-03-06 14:50:00+00:00,2025-03-13 16:00:00+00:00,long,2914.33893,2977.17013,2863.04279,2988.52975,224043.16,4785.4121,830,signal
2025-03-18 07:15:00+00:00,2025-03-21 04:00:00+00:00,long,3018.04049,3030.05095,2978.94138,3074.78856,249545.27,943.1701,237,signal
2025-03-27 08:10:00+00:00,2025-03-28 04:00:00+00:00,long,3037.31078,3074.00654,2997.383,3094.96561,251249.72,2985.2641,226,signal
2025-04-04 08:05:00+00:00,2025-04-07 17:00:00+00:00,short,3090.83841,2966.20832,3177.02132,2966.14685,256623.76,10296.3668,383,tp
2025-04-07 17:05:00+00:00,2025-04-09 14:15:00+00:00,short,2966.25152,3079.58834,3079.52452,2802.05027,275157.22,-10568.45,518,sl
2025-04-23 13:00:00+00:00,2025-05-15 06:00:00+00:00,short,3310.4751,3120.93956,3441.48744,3120.79551,256134.01,14613.2843,4331,tp
2025-05-16 08:10:00+00:00,2025-05-20 22:10:00+00:00,short,3204.0186,3299.97315,3299.86746,3065.21437,282437.92,-8514.9916,708,sl
2025-05-28 11:15:00+00:00,2025-05-30 16:00:00+00:00,short,3309.47941,3289.79758,3374.62446,3214.95161,267110.94,1535.115,609,signal
2025-06-06 14:00:00+00:00,2025-06-10 20:00:00+00:00,short,3342.88461,3326.99815,3415.10497,3238.27454,269696.39,1227.7451,624,signal
2025-06-11 20:30:00+00:00,2025-06-12 00:00:00+00:00,long,3352.73553,3363.16728,3286.2509,3448.91414,175767.53,511.7318,30,signal
2025-06-17 14:35:00+00:00,2025-06-20 00:00:00+00:00,short,3375.42804,3368.9059,3447.5262,3271.06759,273005.2,472.9111,623,signal
2025-06-30 09:10:00+00:00,2025-06-30 23:55:00+00:00,short,3281.42854,3312.40409,3342.13845,3193.55368,273855.29,-2639.8702,165,end_of_data
