timestamp,open,high,low,close
1677045600000,1836.955,1837.005,1834.998,1835.315
1677049200000,1835.265,1839.814,1834.845,1839.734
1677052800000,1839.734,1841.065,1832.778,1834.685
1677056400000,1834.655,1836.155,1832.805,1833.865
1677060000000,1833.855,1834.615,1832.025,1833.335
1677063600000,1833.335,1839.548,1833.125,1838.785
1677067200000,1838.805,1845.905,1838.094,1841.475
1677070800000,1841.495,1841.775,1834.938,1838.525
1677074400000,1838.535,1838.995,1834.315,1835.745
1677078000000,1835.765,1838.198,1831.235,1835.898
1677081600000,1835.895,1837.015,1832.475,1833.025
1677085200000,1833.015,1834.325,1830.555,1833.075
1677088800000,1833.085,1834.175,1829.308,1830.458
1677092400000,1830.458,1833.648,1824.585,1824.835
1677096000000,1824.875,1827.305,1823.425,1824.655
1677099600000,1824.635,1826.405,1824.435,1824.435
1677103200000,1824.435,1824.435,1824.435,1824.435
1677106800000,1825.154,1826.165,1824.704,1825.055
1677110400000,1825.035,1825.645,1823.045,1824.435
1677114000000,1824.465,1828.715,1824.415,1827.615
1677117600000,1827.615,1829.795,1826.235,1829.585
1677121200000,1829.575,1830.355,1826.858,1827.805
1677124800000,1827.785,1829.785,1827.435,1829.785
1677128400000,1829.765,1829.765,1827.495,1828.748
1677132000000,1828.748,1833.685,1828.424,1831.995
1677135600000,1831.948,1833.645,1828.655,1829.695
1677139200000,1829.685,1829.695,1826.428,1826.555
1677142800000,1826.598,1827.345,1825.538,1826.165
1677146400000,1826.155,1827.174,1824.285,1826.378
1677150000000,1826.334,1827.925,1823.898,1826.415
1677153600000,1826.385,1828.385,1824.725,1826.748
1677157200000,1826.748,1827.395,1817.395,1825.378
1677160800000,1825.358,1830.025,1822.664,1828.055
1677164400000,1828.035,1828.255,1820.124,1823.404
1677168000000,1823.394,1823.394,1818.375,1819.875
1677171600000,1819.905,1822.205,1818.885,1821.155
1677175200000,1821.135,1823.625,1819.065,1822.575
1677178800000,1822.575,1824.018,1822.455,1822.848
1677182400000,1822.845,1823.998,1822.548,1823.348
1677186000000,1823.348,1823.448,1821.585,1821.585
1677189600000,1821.585,1821.585,1821.585,1821.585
1677193200000,1821.444,1823.415,1821.444,1823.115
1677196800000,1823.115,1826.525,1822.915,1826.325
1677200400000,1826.335,1827.085,1824.045,1825.975
1677204000000,1825.965,1827.715,1824.285,1824.825
1677207600000,1824.825,1827.515,1824.765,1825.645
1677211200000,1825.645,1826.345,1824.698,1825.425
1677214800000,1825.455,1825.625,1823.945,1824.525
1677218400000,1824.545,1825.715,1823.215,1823.945
1677222000000,1824.034,1826.235,1821.655,1821.995
1677225600000,1821.995,1825.495,1819.635,1822.785
1677229200000,1822.765,1825.365,1821.478,1821.525
1677232800000,1821.505,1823.938,1820.965,1822.185
1677236400000,1822.165,1822.955,1817.295,1819.038
1677240000000,1819.038,1819.048,1815.185,1817.005
1677243600000,1817.035,1818.125,1811.498,1815.478
1677247200000,1815.435,1815.758,1808.875,1812.764
1677250800000,1812.764,1815.105,1809.525,1810.518
1677254400000,1810.528,1814.058,1809.445,1812.195
1677258000000,1812.215,1812.508,1809.255,1809.815
1677261600000,1809.835,1811.105,1808.865,1809.805
1677265200000,1809.825,1811.365,1809.615,1810.895
1677268800000,1810.865,1813.298,1810.475,1810.835
1677272400000,1810.805,1811.715,1810.384,1810.665
1677276000000,1810.665,1810.665,1810.665,1810.665
1677279600000,1810.665,1810.665,1810.665,1810.665
1677283200000,1810.665,1810.665,1810.665,1810.665
1677286800000,1810.665,1810.665,1810.665,1810.665
1677290400000,1810.665,1810.665,1810.665,1810.665
1677294000000,1810.665,1810.665,1810.665,1810.665
1677297600000,1810.665,1810.665,1810.665,1810.665
1677301200000,1810.665,1810.665,1810.665,1810.665
1677304800000,1810.665,1810.665,1810.665,1810.665
1677308400000,1810.665,1810.665,1810.665,1810.665
1677312000000,1810.665,1810.665,1810.665,1810.665
1677315600000,1810.665,1810.665,1810.665,1810.665
1677319200000,1810.665,1810.665,1810.665,1810.665
1677322800000,1810.665,1810.665,1810.665,1810.665
1677326400000,1810.665,1810.665,1810.665,1810.665
1677330000000,1810.665,1810.665,1810.665,1810.665
1677333600000,1810.665,1810.665,1810.665,1810.665
1677337200000,1810.665,1810.665,1810.665,1810.665
1677340800000,1810.665,1810.665,1810.665,1810.665
1677344400000,1810.665,1810.665,1810.665,1810.665
1677348000000,1810.665,1810.665,1810.665,1810.665
1677351600000,1810.665,1810.665,1810.665,1810.665
1677355200000,1810.665,1810.665,1810.665,1810.665
1677358800000,1810.665,1810.665,1810.665,1810.665
1677362400000,1810.665,1810.665,1810.665,1810.665
1677366000000,1810.665,1810.665,1810.665,1810.665
1677369600000,1810.665,1810.665,1810.665,1810.665
1677373200000,1810.665,1810.665,1810.665,1810.665
1677376800000,1810.665,1810.665,1810.665,1810.665
